column_name,original_value,normalized_value,suggested_group,similarity_score,count,decision
date,2024-01-29,2024 01 29,2024-01-01,95.0,1,accepted
date,2024-01-30,2024 01 30,2024-01-01,95.0,1,accepted
date,2024-01-31,2024 01 31,2024-01-01,95.0,1,accepted
date,2024-02-01,2024 02 01,2024-01-01,95.0,1,accepted
date,2024-01-01,2024 01 01,2024-01-03,95.0,1,accepted
date,2024-02-16,2024 02 16,2024-02-02,95.0,2,accepted
date,2024-02-17,2024 02 17,2024-02-02,95.0,2,accepted
date,2024-02-03,2024 02 03,2024-02-02,95.0,1,accepted
date,2024-02-04,2024 02 04,2024-02-02,95.0,1,accepted
date,2024-02-05,2024 02 05,2024-02-02,95.0,1,accepted
date,2024-02-06,2024 02 06,2024-02-02,95.0,1,accepted
date,2024-02-07,2024 02 07,2024-02-02,95.0,1,accepted
date,2024-02-08,2024 02 08,2024-02-02,95.0,1,accepted
date,2024-02-10,2024 02 10,2024-02-02,95.0,1,accepted
date,2024-02-11,2024 02 11,2024-02-02,95.0,1,accepted
date,2024-02-12,2024 02 12,2024-02-02,95.0,1,accepted
date,2024-02-13,2024 02 13,2024-02-02,95.0,1,accepted
date,2024-02-14,2024 02 14,2024-02-02,95.0,1,accepted
date,2024-02-15,2024 02 15,2024-02-02,95.0,1,accepted
date,2024-02-02,2024 02 02,2024-02-16,95.0,1,accepted
organisme,Agence du revenu du Québec,AGENCE DU REVENU DU QUEBEC,Agence Revenu Quebec,95.0,1,accepted
organisme,Agence Revenu Quebec,AGENCE REVENU QUEBEC,Agence du revenu du Québec,95.0,1,accepted
organisme,École Polytechnique de Montréal,ECOLE POLYTECHNIQUE DE MONTREAL,Ecole Polytechnique Montréal,95.0,1,accepted
organisme,Polytechnique Montreal,POLYTECHNIQUE MONTREAL,Ecole Polytechnique Montréal,95.0,1,accepted
organisme,Espaces Organisation,ESPACES ORGANISATION,Espaces Organisation,100.0,1,accepted
organisme,Espaces   Organisation,ESPACES ORGANISATION,Espaces Organisation,100.0,1,accepted
organisme,Ministere de la Sante,MINISTERE DE LA SANTE,Ministere de la Sante,100.0,1,accepted
organisme,Ministère de la Santé,MINISTERE DE LA SANTE,Ministere de la Sante,100.0,1,accepted
organisme,MINISTERE SANTE,MINISTERE SANTE,Ministere de la Sante,95.0,1,accepted
organisme,Ministère Santé Services sociaux,MINISTERE SANTE SERVICES SOCIAUX,Ministere de la Santé et Services Sociaux,95.0,1,accepted
organisme,Ministere de la Santé et Services Sociaux,MINISTERE DE LA SANTE ET SERVICES SOCIAUX,Ministère Santé Services sociaux,95.0,1,accepted
organisme,Organisme avec caracteres #$%!,ORGANISME AVEC CARACTERES,Organisme avec caracteres #$%!,100.0,1,accepted
organisme,organisme avec caracteres,ORGANISME AVEC CARACTERES,Organisme avec caracteres #$%!,100.0,1,accepted
organisme,Société de transport de Montréal,SOCIETE DE TRANSPORT DE MONTREAL,Societe transport Montreal,95.0,1,accepted
organisme,Societe transport Montreal,SOCIETE TRANSPORT MONTREAL,Société de transport de Montréal,95.0,1,accepted
organisme,U.Q.A.M.,U Q A M,U.Q.A.M.,100.0,1,accepted
organisme,U Q A M,U Q A M,U.Q.A.M.,100.0,1,accepted
organisme,Université Laval,UNIVERSITE LAVAL,Université Laval,100.0,1,accepted
organisme,Universite Laval,UNIVERSITE LAVAL,Université Laval,100.0,1,accepted
organisme,UNIVERSITÉ  LAVAL,UNIVERSITE LAVAL,Université Laval,100.0,1,accepted
organisme,Université du Québec à Montréal,UNIVERSITE DU QUEBEC A MONTREAL,Université du Québec à Montréal,100.0,2,accepted
organisme,universite du quebec a montreal,UNIVERSITE DU QUEBEC A MONTREAL,Université du Québec à Montréal,100.0,1,accepted
organisme,Université  du Québec à Montréal,UNIVERSITE DU QUEBEC A MONTREAL,Université du Québec à Montréal,100.0,1,accepted
organisme,Université du Québec @ Montréal,UNIVERSITE DU QUEBEC MONTREAL,Université du Québec à Montréal,96.67,1,accepted
organisme,Universite Québec Montreal,UNIVERSITE QUEBEC MONTREAL,Université du Québec à Montréal,95.0,1,accepted
organisme,Ville de Montréal,VILLE DE MONTREAL,Ville de Montréal,100.0,3,accepted
organisme,Ville de Montreal,VILLE DE MONTREAL,Ville de Montréal,100.0,1,accepted
organisme,Ville  de   Montreal,VILLE DE MONTREAL,Ville de Montréal,100.0,1,accepted
organisme,Ecole Polytechnique Montréal,ECOLE POLYTECHNIQUE MONTREAL,École Polytechnique de Montréal,95.0,1,accepted
organisme,CHUM,CHUM,C.H.U.M.,72.73,1,rejected
organisme,C.H.U.M.,C H U M,CHUM,72.73,1,rejected
organisme,STM,STM,Doublon exact test,72.0,1,rejected
organisme,Province minuscule,PROVINCE MINUSCULE,Ministere de la Santé et Services Sociaux,50.62,1,rejected
organisme,MSSS,MSSS,Ministère Santé Services sociaux,45.0,1,rejected
organisme,Montant texte,MONTANT TEXTE,Montant manquant,66.5,1,rejected
organisme,Nom manquant date,NOM MANQUANT DATE,Montant manquant,63.33,1,rejected
organisme,Montant manquant,MONTANT MANQUANT,Montant texte,66.5,1,rejected
organisme,Doublon exact test,DOUBLON EXACT TEST,STM,72.0,2,rejected
organisme,UQAM,UQAM,?QAM,85.71,1,review
organisme,AQAM,AQAM,?QAM,85.71,1,review
organisme,Revenu Québec,REVENU QUEBEC,Agence Revenu Quebec,90.0,1,review
organisme,Code postal vide,CODE POSTAL VIDE,Code postal bizarre,80.0,1,review
organisme,Code postal bizarre,CODE POSTAL BIZARRE,Code postal vide,80.0,1,review
organisme,?QAM,QAM,UQAM,85.71,1,review
organisme,Univ. du Quebec a Montreal,UNIV DU QUEBEC A MONTREAL,Université du Québec à Montréal,89.29,1,review
organisme,Centre hospitalier universitaire de Montreal,CENTRE HOSPITALIER UNIVERSITAIRE DE MONTREAL,Ville de Montréal,85.5,1,review
ville,Montreal,MONTREAL,Montreal,100.0,14,accepted
ville,Montréal,MONTREAL,Montreal,100.0,11,accepted
ville,Quebec,QUEBEC,Quebec,100.0,6,accepted
ville,Québec,QUEBEC,Quebec,100.0,5,accepted
ville,Trois-Rivières,TROIS RIVIERES,Trois-Rivières,100.0,1,accepted
ville,Trois-Rivieres,TROIS RIVIERES,Trois-Rivières,100.0,1,accepted
ville,Laval,LAVAL,Montreal,51.43,2,rejected
ville,Longueuil,LONGUEUIL,Montreal,47.06,2,rejected
ville,Gatineau,GATINEAU,Montreal,37.5,2,rejected
ville,Sherbrooke,SHERBROOKE,Quebec,37.5,5,rejected
ville,Rimouski,RIMOUSKI,Trois-Rivières,45.0,4,rejected
province,QC,QC,QC,100.0,52,accepted
province,qc,QC,QC,100.0,1,accepted
code_postal,G1R 2B5,G1R 2B5,G1R 5M8,71.43,2,rejected
code_postal,J1H 1A1,J1H 1A1,H1A 1A1,71.43,3,rejected
code_postal,H7A 0A1,H7A 0A1,H1A 1A1,71.43,1,rejected
code_postal,??? 123,123,H1A 1A1,45.0,1,rejected
code_postal,H2X 3E4,H2X 3E4,H2X 1Y4,71.43,3,rejected
code_postal,H1A 1A1,H1A 1A1,J1H 1A1,71.43,3,rejected
code_postal,J4K 1A1,J4K 1A1,J1H 1A1,71.43,2,rejected
code_postal,G1K7S9,G1K7S9,G1K 7S9,92.31,1,review
code_postal,G1K 7S9,G1K 7S9,G1K7S9,92.31,2,review
code_postal,G1R5M8,G1R5M8,G1R 5M8,92.31,1,review
code_postal,G1R 5M8,G1R 5M8,G1R5M8,92.31,2,review
code_postal,G1V0A6,G1V0A6,G1V 0A6,92.31,1,review
code_postal,G1V 0A6,G1V 0A6,G1V0A6,92.31,2,review
code_postal,G5L1A1,G5L1A1,G5L 1A1,92.31,1,review
code_postal,G5L 1A1,G5L 1A1,G5L1A1,92.31,3,review
code_postal,G9A5H7,G9A5H7,G9A 5H7,92.31,1,review
code_postal,G9A 5H7,G9A 5H7,G9A5H7,92.31,1,review
code_postal,H2L4M8,H2L4M8,H2L 4M8,92.31,1,review
code_postal,H2L 4M8,H2L 4M8,H2L4M8,92.31,2,review
code_postal,H2X1Y4,H2X1Y4,H2X 1Y4,92.31,1,review
code_postal,H2X 1Y4,H2X 1Y4,H2X1Y4,92.31,7,review
code_postal,H2Y1C6,H2Y1C6,H2Y 1C6,92.31,1,review
code_postal,H2Y 1C6,H2Y 1C6,H2Y1C6,92.31,4,review
code_postal,H3T1J4,H3T1J4,H3T 1J4,92.31,1,review
code_postal,H3T 1J4,H3T 1J4,H3T1J4,92.31,2,review
code_postal,J8X3Y9,J8X3Y9,J8X 3Y9,92.31,1,review
code_postal,J8X 3Y9,J8X 3Y9,J8X3Y9,92.31,1,review
montant,non disponible,NON DISPONIBLE,50.00,20.0,1,rejected
montant,175.25,175 25,75.00,54.55,1,rejected
montant,1000.00,1000 00,100.00,92.31,5,review
montant,1200.00,1200 00,100.00,92.31,1,review
montant,300.00,300 00,100.00,83.33,4,review
montant,100.00,100 00,1000.00,92.31,1,review
montant,111.00,111 00,110.00,83.33,2,review
montant,131.00,131 00,110.00,83.33,1,review
montant,610.00,610 00,110.00,83.33,1,review
montant,710.00,710 00,110.00,83.33,1,review
montant,110.00,110 00,111.00,83.33,2,review
montant,95.00,95 00,1195.00,83.33,1,review
montant,132.00,132 00,125.00,83.33,1,review
montant,50.00,50 00,250.00,90.91,1,review
montant,125.00,125 00,250.00,83.33,1,review
montant,620.00,620 00,250.00,83.33,1,review
montant,400.00,400 00,300.00,83.33,1,review
montant,130.00,130 00,300.00,83.33,1,review
montant,600.00,600 00,300.00,83.33,1,review
montant,700.00,700 00,300.00,83.33,1,review
montant,460.00,460 00,400.00,83.33,1,review
montant,55.00,55 00,455.00,90.91,1,review
montant,90.00,90 00,490.00,90.91,1,review
montant,250.00,250 00,50.00,90.91,2,review
montant,150.00,150 00,50.00,90.91,1,review
montant,500.00,500 00,50.00,90.91,1,review
montant,510.00,510 00,50.00,90.91,1,review
montant,450.00,450 00,50.00,90.91,1,review
montant,200.50,200 50,50.00,86.36,1,review
montant,455.00,455 00,55.00,90.91,1,review
montant,75.00,75 00,705.00,90.91,1,review
montant,705.00,705 00,75.00,90.91,1,review
montant,800.00,800 00,80.00,90.91,1,review
montant,805.00,805 00,80.00,90.91,1,review
montant,810.00,810 00,80.00,90.91,1,review
montant,80.00,80 00,800.00,90.91,1,review
montant,490.00,490 00,90.00,90.91,1,review
montant,96.00,96 00,90.00,80.0,1,review
montant,1195.00,1195 00,95.00,83.33,2,review
categorie,Autre,AUTRE,Autre,100.0,11,accepted
categorie,autre,AUTRE,Autre,100.0,2,accepted
categorie,Education,EDUCATION,Education,100.0,6,accepted
categorie,education,EDUCATION,Education,100.0,4,accepted
categorie,EDUCATION,EDUCATION,Education,100.0,3,accepted
categorie,Éducation,EDUCATION,Education,100.0,2,accepted
categorie,Fiscal,FISCAL,Fiscal,100.0,1,accepted
categorie,fiscal,FISCAL,Fiscal,100.0,1,accepted
categorie,FISCAL,FISCAL,Fiscal,100.0,1,accepted
categorie,Municipal,MUNICIPAL,Municipal,100.0,3,accepted
categorie,municipal,MUNICIPAL,Municipal,100.0,1,accepted
categorie,MUNICIPAL,MUNICIPAL,Municipal,100.0,1,accepted
categorie,SANTE,SANTE,SANTE,100.0,3,accepted
categorie,Sante,SANTE,SANTE,100.0,2,accepted
categorie,santé,SANTE,SANTE,100.0,2,accepted
categorie,Santé,SANTE,SANTE,100.0,1,accepted
categorie,sante,SANTE,SANTE,100.0,1,accepted
categorie,Transport,TRANSPORT,Transport,100.0,1,accepted
categorie,transport,TRANSPORT,Transport,100.0,1,accepted
categorie,TRANSPORT,TRANSPORT,Transport,100.0,1,accepted
categorie,Recherche,RECHERCHE,Autre,51.43,2,rejected
categorie,Finance,FINANCE,SANTE,50.0,2,rejected
